,b1,a2,b2,RatioTotalArea,frac,Nc
13088,0.016666666666666666,0.01,0.0011111111111111113,0.02095093234093993,0.2,6.54946
41630,0.0025,0.05,0.0005,0.0020027653166634933,0.5,11.1075
16257,0.005,0.25,0.125,0.01688606051304514,0.1,5.75175
49051,0.125,0.35,0.0007,0.03988566032997602,0.8,7.88615
5764,0.08333333333333333,0.25,0.03571428571428571,0.12575720592494855,0.05,4.24854
32066,0.07142857142857142,0.45,0.005625,0.049651188893922255,0.6,5.436
16341,0.005,0.1,0.016666666666666666,0.007723081940074908,0.05,5.79265
18670,0.0025,0.025,2.5e-05,0.003141985352671493,0.2,6.962060000000001
37281,0.025,0.2,0.0025,0.016650441064025905,0.6,10.6634
29106,0.1,0.005,0.0016666666666666668,0.07855290630913478,0.5,7.718339999999999
13591,0.016666666666666666,0.25,0.08333333333333333,0.034033920413889425,0.2,5.9522900000000005
47817,0.5,0.5,0.00625,0.048596511360217136,0.95,4.75894
53743,0.05555555555555555,0.25,0.25,0.18544123302439752,0.9,5.56464
14236,0.01,0.25,0.00625,0.014628040793277475,0.1,5.847519999999999
25670,0.25,0.45,0.015,0.13265374979782904,0.7,4.2922
57374,0.0005,0.35,0.0007,0.0007728317927830888,0.8,9.56132
28070,0.125,0.4,0.02,0.12786282100110458,0.4,4.5467699999999995
